internal_key	short	english	swedish	darwin_core	comments
visit_location_id	VISITLOCID	Visit location ID	Besökspositions-ID		Bio/Hyd
Coloured dissolved organic matter CDOM (1/m)	CDOM	Coloured dissolved organic matter CDOM (1/m)	CDOM (1/m)		Hyd
Turbidity TURB (FNU)	TURB	Turbidity TURB (FNU)	Turbiditet TURB (FNU)		Hyd
reported_cell_volume_um3	CEVOL	Cell volume (um3)	Cellens volym (um3)	ReportedCellVolume	Bio
delivery_datatype	DTYPE	Data type	Datatyp	Datatype	Hyd
data_holding_centre	DATA_CENTRE	Data holding centre	Datavärd		Bio/Hyd
detection_limit	DETLI	Detection limit	Detektionsgräns		Bio
diver_name	DIVER_ID	Diver	Dykare	DiverName	Bio
dyntaxa_id	DYNTAXA_ID	DyntaxaID	DyntaxaID		Bio
aphia_id	APHIA_ID	AphiaID	AphiaID		Bio
cause_of_death	CAUSE_OF_DEATH	Cause of death	Dödsorsak	CauseOfDeath	Bio
detached	DETACHED	Not attached (Y/N)	Ej fastsittande (Y/N)	Detached	Bio
location_economic_zone	EEZ	Economic zone	Ekonomisk zon		Bio/Hyd
wavelength_emission	WAVELENGTH_EM	Emission wavelength (nm)	Emissionsvåglängd (nm)		Bio
epibiont	EPIBIONT	Epibiotic (Y/N)	Epibiotisk (Y/N)	Epibiont	Bio
wavelength_excitation	WAVELENGTH_EX	Excitation wavelength (nm)	Excitationsvåglängd (nm)		Bio
expedition_id	CRUISE_NO	Expedition identifier	Expeditions-ID	ExpeditionId	Bio
station_exposure	EXPOS	Exposure	Exponeringsgrad	Exposure	Bio
factors_influencing_code	FINFL	Factors influencing sample (code)	Faktorer som påverkat provet (kod)	FactorsInfluencingCode	Bio
taxon_family	FAMILY	Family	Familj	TaxonFamily	Bio
fauna_flora_found	FNFLA	Fauna/Flora found (Y/N)	Fauna/Flora funnen (Y/N)	FaunaFloraFound	Bio
section_fauna_flora_found	SECT_FNFLA	Section fauna/flora found (Y/N)	Fauna/Flora funnen i avsnitt (Y/N)	SectFaunaFloraFound	Bio
dataset_file_name	FILE_NAME	File name	Filnamn	ImportFileName	Bio
profile_file_name_db	FILE_NAME_DATABASE	Database file name	Databasfilnamn		Hyd
preservation_method_code	METFP	Preservation method (code)	Fixeringsmetod (kod)	PreservationMethodCode	Bio
reproductive_organs	REPROD_ORG	Reproductive organs (Y/N)	Fortplantningsorgan (Y/N)	ReproductiveOrgans	Bio
Phosphate PO4-P (umol/l)	PHOS	Phosphate PO4-P (umol/l)	Fosfatfosfor PO4-P (umol/l)		Hyd
sample_photo_code	PHOTO	Photo sample (Y/N)	Foto prov (Y/N)	PhotoCode	Bio
image_id	IMAGE_ID	Image ID	Fotografi-ID	ImageId	Bio
delivery_comment	DN_COMNT	Delivery note comment	Fraktsedelkommentar	DeliveryComment	Bio
finding_circumstances	FCST	Finding cricumstance (code)	Fyndomständighet (kod)	FindingCircumstances	Bio
magnification	MAGNI	Magnification	Förstoringsgrad	Magnification	Bio
taxon_hierarchy	TAXON_HIERARCHY	Parent taxa	Föräldrataxa	TaxonHierachy	Bio
Yellow substance (1/l)	YELLOW	Yellow substance (1/l)	Gulämne (1/l)		Hyd
location_sea_basin	SEA_BASIN	Sea basin	Havsbassäng		Bio/Hyd
location_helcom_ospar_area	HELCOM-OSPAR_AREA	HELCOM/OSPAR area	HELCOM/OSPAR-område	LocationHelcomOsparArea	Bio
Humus (ug/l)	HUMUS	Humus (ug/l)	Humus (ug/l)		Hyd
import_datetime	IMPORT_DATE_TIM	Import date and time	Importdatum och tid		Bio/Hyd
method_incubation	METINCUB	Incubation method	Inkubations metod		Hyd
incubation_time_h	INTIM	Incubation time (h)	Inkubationstid (h)	IncubationTime	Bio
incubation_end_time	IETIM	Incubation end time	Inkubationstid slut	IncubationEndTime	Bio
incubation_start_time	ISTIM	Incubation start time	Inkubationstid start	IncubationStartTime	Bio
internet_access	INTERNET_ACCESS	Internet access	Internetåtkomst		Bio/Hyd
ice_observation_code	ICEOB	Ice (code)	Is (kod)	IceObservationsCode	Bio
taxon_class	CLASS	Class	Klass	TaxonClass	Bio
Chlorophyll-a bottle (ug/l)	CPHL	Chlorophyll-a bottle (ug/l)	Klorofyll-a vattenhämtare (ug/l)		Hyd
section_substrate_comnt_boulder	SECT_COMNT_BOULDER	Section substrate comment boulder	Kommentar block (avsnitt)	SectComntBoulder	Bio
sample_substrate_comnt_boulder	SUBST_COMNT_BOULDER	Sample substrate comment boulder	Kommentar block (prov)	SubstComntBoulder	Bio
section_substrate_comnt_gravel	SECT_COMNT_GRAVEL	Section substrate comment gravel	Kommentar grus (avsnitt)	SectComntGravel	Bio
sample_substrate_comnt_gravel	SUBST_COMNT_GRAVEL	Sample substrate comment gravel	Kommentar grus (prov)	SubstComntGravel	Bio
section_substrate_comnt_rock	SECT_COMNT_ROCK	Section substrate comment rock	Kommentar häll (avsnitt)	SectComntRock	Bio
sample_substrate_comnt_rock	SUBST_COMNT_ROCK	Sample substrate comment rock	Kommentar häll (prov)	SubstComntRock	Bio
section_substrate_comnt_softbottom	SECT_COMNT_SOFTBOTTOM	Section substrate comment soft bottom	Kommentar mjukbotten (avsnitt)	SectComntSoftbottom	Bio
sample_substrate_comnt_softbottom	SUBST_COMNT_SOFTBOTTOM	Sample substrate comment soft bottom	Kommentar mjukbotten (prov)	SubstComntSoftbottom	Bio
section_substrate_comnt_sand	SECT_COMNT_SAND	Section substrate comment sand	Kommentar sand (avsnitt)	SectComntSand	Bio
sample_substrate_comnt_sand	SUBST_COMNT_SAND	Sample substrate comment sand	Kommentar sand (prov)	SubstComntSand	Bio
section_substrate_comnt_stone	SECT_COMNT_STONE	Section substrate comment stone	Kommentar sten (avsnitt)	SectComntStone	Bio
sample_substrate_comnt_stone	SUBST_COMNT_STONE	Sample substrate comment stone	Kommentar sten (prov)	SubstComntStone	Bio
sampling_method_comment_phyche	COMNT_SMPM	Comment for sampling method (physchem)	Kommentar till provtagningsmetod (hyd)		Hyd
location_municipality	MUNICIPALITY_NAME	Municipality	Kommun	LocationMunicipalityName	Bio
Conductivity CTD (mS/m)	CNDC_CTD	Conductivity CTD (mS/m)	Konduktivitet CTD (mS/m)		Hyd
Conductivity_25 bottle (mS/m)	CNDC_25	Conductivity_25 bottle (mS/m)	Konduktivitet_25 vattenhämtare (mS/m)		Hyd
data_checked_by_sv	DCBY	Checked by	Kontrollerad av		Bio/Hyd
check_status_sv	DCSTAT	Check status	Kontrollstatus		Bio/Hyd
salinity_correction	S_COR_FAC	Salinity correction factor	Korrigeringsfaktor salthalt	SalinityCorrection	Bio
sex_code	SEXCODE	Sex (code)	Kön (kod)	SpeciesSex	Bio
dataset_name	DATA_SET_NAME	Data set name	Leveranspaket	DeliveryPackageName	Bio
Lignin (mg/l)	LIGNIN	Lignin (mg/l)	Lignin (mg/l)		Hyd
insolation_air	INAIR	Insolation air (uE/m2/s)	Ljusinstrålning luft (uE/m2/s)	InsolationAir	Bio
incubation_radiation_e	INCUR	Incubation radiation (uE/m2/s)	Ljusintensitet inkubation (uE/m2/s)	IncubationRadiation	Bio
incubation_radiation_w	INCUR2	Incubation radiation (W/m2)	Ljusintensitet inkubation (W/m2)	IncubationRadiationW	Bio
air_temperature_degc	AIRTEMP	Air temperature (C)	Lufttemperatur (C)		Bio
air_pressure_hpa	AIRPRES	Air pressure (hpa)	Lufttryck (hpa)		Bio
bottom_slope_deg	SLOPE	Slope (deg)	Lutning (grad)	Slope	Bio
location_county	COUNTY_NAME	County	Län	LocationCountyName	Hyd
link_to_ftp_file	LINK_FTP	Link to archive file	Länk till arkivfil		Bio/Hyd
Dissolved organic carbon DOC (umol/l)	DOC	Dissolved organic carbon DOC (umol/l)	Löst Organiskt Kol DOC (umol/l)		Hyd
mesh_size_um	MESHS	Mesh size (um)	Maskvidd (um)	MeshSize	Bio
mean_value	MEANVALUE	Mean value	Medelvärde		Bio/Hyd
method_documentation	METDC	Method documentation	Metoddokument	MethodDocumentation	Bio/Hyd
method_comment	MET_COMNT	Method comment	Metodkommentar	MethodComment	Bio
method_reference_code	REFSK	Method reference (code)	Metodreferens (kod)	ReferenceSourceCode	Bio
cloud_observation_code	CLOUD	Cloud (code)	Molnighet (kod)	CloudsCode	Bio
unit	MUNIT	Unit	Mätenhet	Unit	Bio
analysis_range	RANA	Range of analysis	Mätområde	AnalysisRange	Hyd
estimation_uncertainty	UNCERT	Estimation uncertainty	Mätosäkerhet		Bio
value	VALUE	Value	Mätvärde	Value	Bio
dataset_package_name	DATA_PACK_NAM	Dataset package name	Namn på datapaket		Bio/Hyd
image_sequence	IMAGE_SEQUENCE	Image sequence	Bildsekvens		Bio
station_N2000_code	NTYPE	Natura 2000	Natura 2000		Bio
sample_part_max_cm	SPMAX	Maximum depth in sample (cm)	Nedre provdjup (cm)	SamplePartMax	Bio
lower_mesh_size_um	MESH_LOWER	Lower mesh size (um)	Nedre såll (um)	MeshSizeLow	Bio
Nitrate NO3-N (umol/l)	NTRA	Nitrate NO3-N (umol/l)	Nitratkväve NO3-N (umol/l)		Hyd
Nitrite+Nitrate NO2+NO3-N (umol/l)	NTRZ	Nitrite+Nitrate NO2+NO3-N (umol/l)	Nitrit+Nitratkväve NO2+NO3-N (umol/l)		Hyd
Nitrite NO2-N (umol/l)	NTRI	Nitrite NO2-N (umol/l)	Nitritkväve NO2-N (umol/l)		Hyd
recruits	RECRUIT	Recruitment (Y/N)	Nyrekrytering (Y/N)	Recruits	Bio
observation_distance_m	OBSDIST	Observation distance (m)	Observationsavstånd (m)	ObservationDistance	Bio
obspoint	OBSPOINT	Observation point (code)	Observationspunkt (kod)		Bio
taxon_order	ORDER	Order	Ordning	TaxonOrder	Bio
parameter	PARAM	Parameter	Parameter	Parameter	Bio
Particulate organic carbon POC (umol/l)	POC	Particulate organic carbon POC (umol/l)	Partikulärt Organiskt Kol POC (umol/l)		Hyd
Particulate organic nitrogen PON (umol/l)	PON	Particulate organic nitrogen PON (umol/l)	Partikulärt Organiskt Kväve PON (umol/l)		Hyd
pH	PH	pH	pH		Hyd
pH Laboratory	PH_LAB	pH Laboratory	pH Laboratorium		Hyd
plankton_sampling_method_code	PDMET	Plankton sampling method (code)	Planktonprovtagningsmetod (kod)	PlanktonSamplingMethod	Bio
positioning_system_code	POSYS	Positioning system (code)	Positioneringssystem (kod)	PositioningSystemCode	Bio
sample_project_name_sv	PROJ	Project	Projekt	ProjectCode	Bio
transect_protocol_writer	PROTO_WRIT	Protocol writer	Protokollansvarig		Bio
sampled_by	SMP_BY	Sampled by	Prov insamlat av	SampledBy	Bio
sample_part_id	SUBNO	Sample part identifier	Provdels-ID	SamplePartId	Bio
sample_latitude_dd	LATIT_DD	Sample latitude (DD)	Provets latitud (DD)		Bio/Hyd
sample_latitude_dm	LATIT_DM	Sample latitude (DM)	Provets latitud (DM)		Bio/Hyd
sample_longitude_dd	LONGI_DD	Sample longitude (DD)	Provets longitud (DD)		Bio/Hyd
sample_longitude_dm	LONGI_DM	Sample longitude (DM)	Provets longitud (DM)		Bio/Hyd
sample_max_depth_m	MXDEP	Sample maximum depth	Provets nedre djup	SampleMaxDepth	Bio
sample_min_depth_m	MNDEP	Sample minimum depth	Provets övre djup	SampleMinDepth	Bio
sample_cluster	SMP_GROUP	Sample cluster	Provkluster	SampleCluster	Bio
sample_comment	COMNT_SAMP	Sample comment	Provkommentar	SampleComment	Bio
sampling_laboratory_accreditated	ACKR_SMP	Sampling laboratory accreditated	Provtagande laboratorium ackrediterat		Bio
sampling_laboratory_accreditated_phyche	ACKR_SMP_PHYSCHEM	Sampling laboratory accreditated (physchem)	Provtagande laboratorium ackrediterat (hyd)		Hyd
sampler_area_cm2	SAREA	Sampler area (cm2)	Provtagar-area (cm2)	SamplerArea	Bio
sampler_area_m2	SAREA	Sampler area (m2)	Provtagar-area (m2)	SamplerArea	Bio
sampler_type_code	SMTYP	Sampler type	Provtagartyp	SamplerTypeCode	Bio
sampler_type_code_phyche	SMTYP	Sampler type (phyche)	Provtagartyp (hyd)	SamplerTypeCode	Hyd
visit_date	SDATE	Sampling date	Provtagningsdatum	VisitDate	Bio/Hyd
visit_logger_startdate	ST_DATE	Logging period start date	Loggningsperiod startdatum		Bio
visit_logger_enddate	EN_DATE	Logging period end date	Loggningsperiod slutdatum		Bio
visit_logger_starttime	ST_TIME	Logging period start time	Loggningsperiod starttid		Bio
visit_logger_endtime	EN_TIME	Logging period end time	Loggningsperiod sluttid		Bio
visit_enddate	EDATE	Sampling date (end)	Provtagningsdatum (slut)		Bio/Hyd
sample_enddate	EDATE	Sampling date (end)	Provtagningsdatum (slut)	SampleEnddate	Hyd
sample_date	SDATE	Sampling date (start)	Provtagningsdatum (start)	SampleDate	Hyd
sample_depth_m	DEPH	Sampling depth (m)	Provtagningsdjup (m)	SamplingDepth	Hyd
sampling_laboratory_name_sv	SLABO	Sampling laboratory	Provtagningslaboratorium	SamplingLaboratory	Bio
sampling_laboratory_code_phyche	SLABO_PHYSCHEM	Sampling laboratory (physchem)	Provtagningslaboratorium (hyd)	SamplingLaboratory	Hyd
sampling_method_reference_code_phyche	REFSK_SMP	Sampling method reference (physchem)	Provtagningsmetod referens (hyd)		Hyd
platform_code	SHIPC	Sampling platform (code)	Provtagningsplattform (kod)	PlatformCode	Hyd
sample_endtime	ETIME	Sampling time (end)	Provtagningstid (slut)	SampleEndtime	Hyd
sample_time	STIME	Sampling time (start)	Provtagningstid (start)	SampleTime	Bio/Hyd
sampled_volume_l	SMVOL	Sampled volume (l)	Provtagningsvolym (l)	SampledVolume	Bio
sample_splitting_code	SPLIT	Sample splitter (code)	Provuppdelare (kod)	SampleSplittingCode	Bio
degree_biofouling	BIOFOUL_%	Biofouling (%)	Påväxtgrad (%)	DegreeBiofouling	Bio
quality_flag	QFLAG	Quality flag	Q-flagga	QualifierCode	Bio
QFLAG Alkalinity	Q_ALKY	Q-flag Alkalinity	Q-flagga Alkalinitet		Hyd
QFLAG Alkalinity_2	Q_ALKY_2	Q-flag Alkalinity_2	Q-flagga Alkalinitet_2		Hyd
QFLAG Aluminium	Q_AL	Q-flag Aluminium	Q-flagga Aluminium		Hyd
QFLAG Ammonium NH4-N	Q_AMON	Q-flag Ammonium NH4-N	Q-flagga Ammoniumkväve NH4-N		Hyd
QFLAG Coloured dissolved organic matter CDOM	Q_CDOM	Q-flag Coloured dissolved organic matter CDOM	Q-flagga CDOM		Hyd
QFLAG Turbidity TURB	Q_TURB	Q-flag Turbidity TURB	Q-flag Turbiditet TURB		Hyd
QFLAG Phosphate PO4-P	Q_PHOS	Q-flag Phosphate PO4-P	Q-flagga Fosfatfosfor PO4-P		Hyd
sample_depth_quality_flag	QDEP	Depth quality flag	Q-flagga för djupuppskattning	DepthQflag	Bio
secchi_depth_quality_flag	QSEC	Secchi quality flag	Q-flagga för Secchidjup		Bio
QFLAG Yellow substance	Q_YELLOW	Q-flag Yellow substance	Q-flagga Gulämne		Hyd
QFLAG Humus	Q_HUMUS	Q-flag Humus	Q-flagga Humus		Hyd
QFLAG Chlorophyll-a bottle	Q_CPHL	Q-flag Chlorophyll-a bottle	Q-flagga Klorofyll-a vattenhämtare		Hyd
QFLAG Conductivity CTD	Q_CNDC_CTD	Q-flag Conductivity CTD	Q-flagga Konduktivitet CTD		Hyd
QFLAG Conductivity_25 bottle	Q_CNDC_25	Q-flag Conductivity_25 bottle	Q-flagga Konduktivitet_25 vattenhämtare		Hyd
QFLAG Lignin	Q_LIGNIN	Q-flag Lignin	Q-flagga Lignin		Hyd
QFLAG Dissolved organic carbon DOC	Q_DOC	Q-flag Dissolved organic carbon DOC	Q-flagga Löst Organiskt Kol DOC		Hyd
QFLAG Nitrate NO3-N	Q_NTRA	Q-flag Nitrate NO3-N	Q-flagga Nitratkväve NO3-N		Hyd
QFLAG Nitrite+Nitrate NO2+NO3-N	Q_NTRZ	Q-flag Nitrite+Nitrate NO2+NO3-N	Q-flagga Nitrit+Nitratkväve NO2+NO3-N		Hyd
QFLAG Nitrite NO2-N	Q_NTRI	Q-flag Nitrite NO2-N	Q-flagga Nitritkväve NO2-N		Hyd
QFLAG Particulate organic carbon POC	Q_POC	Q-flag Particulate organic carbon POC	Q-flagga Partikulärt Organiskt Kol POC		Hyd
QFLAG Particulate organic nitrogen PON	Q_PON	Q-flag Particulate organic nitrogen PON	Q-flagga Partikulärt Organiskt Kväve PON		Hyd
QFLAG pH	Q_PH	Q-flag pH	Q-flagga pH		Hyd
QFLAG pH Laboratory	Q_PH_LAB	Q-flag pH Laboratory	Q-flagga pH Laboratorium		Hyd
QFLAG Salinity CTD	Q_SALT_CTD	Q-flag Salinity CTD	Q-flagga Salinitet CTD		Hyd
QFLAG Salinity bottle	Q_SALT_BTL	Q-flag Salinity bottle	Q-flagga Salinitet vattenhämtare		Hyd
QFLAG Secchi depth	Q_SECCHI	Q-flag Secchi depth	Q-flagga Siktdjup		Hyd
QFLAG Silicate SiO3-Si	Q_SIO3-SI	Q-flag Silicate SiO3-Si	Q-flagga Silikat SiO3-Si		Hyd
QFLAG Current velocity	Q_CURVEL	Q-flag Current velocity	Q-flagga Strömhastighet		Hyd
QFLAG Current direction	Q_CURDIR	Q-flag Current direction	Q-flagga Strömriktning		Hyd
QFLAG Hydrogen sulphide H2S	Q_H2S	Q-flag Hydrogen sulphide H2S	Q-flagga Svavelväte H2S-S		Hyd
QFLAG Dissolved oxygen O2 CTD	Q_DOXY_CTD	Q-flag Dissolved oxygen O2 CTD	Q-flagga Syrgashalt O2 CTD		Hyd
QFLAG Dissolved oxygen O2 bottle	Q_DOXY_BTL	Q-flag Dissolved oxygen O2 bottle	Q-flagga Syrgashalt O2 vattenhämtare		Hyd
QFLAG Temperature CTD	Q_TEMP_CTD	Q-flag Temperature CTD	Q-flagga Temperatur CTD		Hyd
QFLAG Temperature pH Laboratory	Q_PH_LAB_TEMP	Q-flag Temperature pH Laboratory	Q-flagga Temperatur pH Laboratorium		Hyd
QFLAG Temperature bottle	Q_TEMP_BTL	Q-flag Temperature bottle	Q-flagga Temperatur vattenhämtare		Hyd
QFLAG Total phosphorus Tot-P	Q_PTOT	Q-flag Total phosphorus Tot-P	Q-flagga Total fosfor Tot-P		Hyd
QFLAG Total Nitrogen Tot-N	Q_NTOT	Q-flag Total Nitrogen Tot-N	Q-flagga Total kväve Tot-N		Hyd
QFLAG Total organic carbon TOC	Q_TOC	Q-flag Total organic carbon TOC	Q-flagga Total Organiskt Kol TOC		Hyd
QFLAG Pressure CTD	Q_PRES_CTD	Q-flag Pressure CTD	Q-flagga Tryck CTD		Hyd
QFLAG Urea	Q_UREA	Q-flag Urea	Q-flagga Urea		Hyd
reported_unit	REP_MUNIT	Reported unit	Rapporterad enhet	ReportedUnit	Bio
reported_parameter	REP_PARAM	Reported parameter	Rapporterad parameter	ReportedParameter	Bio
reporting_institute_name_sv	RLABO	Reporting institute	Rapporterande institut	ReportingInstitute	Bio
reported_by	REPBY	Reported by	Rapporterat av	ReportedBy	Bio
sample_id	SMPNO	Reported sample id	Rapporterat id		Bio/Hyd
reported_station_name	REP_STATN_NAME	Reported station name	Rapporterat stationsnamn	ReportedStationName	Hyd
reported_scientific_name	LATNM	Reported scientific name	Rapporterat vetenskapligt namn	ReportedScientificName	Bio
reported_value	REP_VALUE	Reported value	Rapporterat värde	ReportedValue	Bio
quantification_limit	LMQNT	Quantification limit	Rapporteringsgräns		Bio/Hyd
counter_program	COUNTPROG	Counting application	Registreringsprogram	CounterProgram	Bio
taxon_kingdom	KINGDOM	Kingdom	Rike	TaxonKingdom	Bio
counted_portions	CPORT	Counted portions	Räknade delar	CountedPortions	Bio
taxon_red_list_category	RED_LIST_TAXON	Red list category	Rödlista kategori		Bio
Salinity CTD (o/oo psu)	SALT_CTD	Salinity CTD (o/oo psu)	Salinitet CTD (o/oo psu)		Hyd
Salinity bottle (o/oo psu)	SALT_BTL	Salinity bottle (o/oo psu)	Salinitet vattenhämtare (o/oo psu)		Hyd
secchi_depth_m	SECCHI	Secchi depth	Secchidjup	VisibilityDepth	Bio
sedimentation_volume_ml	SDVOL	Sedimentation volume (ml)	Sedimentationskammarvolym (ml)	SedimentationVolume	Bio
sedimentation_time_h	SDTIM	Sedimentation time (h)	Sedimentationstid (h)	SedimentationTime	Bio
sediment_deposition_code	DEPOS	Sediment deposition (code)	Sedimentdeposition (kod)	SedimentDepositionCode	Bio
sediment_type	SDTYP	Sediment type	Sedimenttyp		Bio
sediment_comment	COMNT_SD	Sedimentation comment	Sedimentkommentar		Bio
sample_series	SERNO	Serial number	Serienummer	SampleSeries	Hyd
shark_sample_id	SHARKID	Shark sample id	Shark prov id		Bio/Hyd
shark_sample_id_md5	SHARKID_MD5	Shark sample id MD5	Shark prov id MD5		Bio/Hyd
shark_transect_id_md5	SHARK_TRANS_ID_MD5	Shark transect id MD5	Shark transekt id MD5		Bio
Secchi depth (m)	SECCHI	Secchi depth (m)	Siktdjup (m)		Hyd
Silicate SiO3-Si (umol/l)	SIO3-SI	Silicate SiO3-Si (umol/l)	Silikat SiO3-Si (umol/l)		Hyd
taxon_genus	GENUS	Genus	Släkte	TaxonGenus	Bio
taxon_phylum	PHYLUM	Phylum	Stam	TaxonPhylum	Bio
station_viss_eu_id	VISS_EU_ID	Station ID (VISS)	Stationid VISS	StationVissEuId	Hyd
station_photo	STATN_PHOTO	Station photo (Y/N)	Stationsfotografi (Y/N)	StationName	Bio
station_cluster	STAT_CLUSTER	Station cluster	Stationskluster	StationCluster	Bio
station_marking	STN_MARK	Station marked	Stationsmarkering	StationMarking	Bio
station_name	STATN	Station name	Stationsnamn	StationName	Hyd
station_id	REG_ID_GROUP	ID Monitoring station	ID Övervakningsstation		Bio/Hyd
sample_location_id	REG_ID	ID Location	ID Provplats		Bio/Hyd
image_stop_time	IMAGE_STOP_TIME	Stoptime for image	Stoptid för bild		Bio
size_max_um	SIZE_MAX	Size max (um)	Storlek max (um)	SpeciesSizeClassMax	Bio
size_min_um	SIZE_MIN	Size min (um)	Storlek min (um)	SpeciesSizeClassMin	Bio
size_class	SIZCL	Size class	Storleksklass	SpeciesSizeClass	Bio
size_class_range_max	SIZECLASS_RANGE_MAX	Sizeclass max range	Storleksklass max		Bio
size_class_range_min	SIZECLASS_RANGE_MIN	Sizeclass min range	Storleksklass min		Bio
size_class_ref_list_code	SIZRF	Size class reference list	Storleksreferens-lista	SpeciesSizeClassRefListCode	Bio
stratum_code	STRID	Stratum (code)	Stratum (kod)	StratumCode	Bio
Current velocity (cm/s)	CURVEL	Current velocity (cm/s)	Strömhastighet (m/s)		Hyd
Current direction (deca degrees)	CURDIR	Current direction (deca degrees)	Strömriktning (dekagrader)		Hyd
sum_value	SUMVALUE	Sum	Summa		Bio/Hyd
Hydrogen sulphide H2S (umol/l)	H2S	Hydrogen sulphide H2S (umol/l)	Svavelväte H2S (umol/l)		Hyd
monitoring_purpose_code	PURPM	Monitoring purpose (code)	Syfte med provtagningen (kod)	PurposeCode	Bio
Dissolved oxygen O2 CTD (ml/l)	DOXY_CTD	Dissolved oxygen O2 CTD (ml/l)	Syrgashalt O2 CTD (ml/l)		Hyd
Dissolved oxygen O2 bottle (ml/l)	DOXY_BTL	Dissolved oxygen O2 bottle (ml/l)	Syrgashalt O2 vattenhämtare (ml/l)		Hyd
DPM_darkness	DPMD	Disintegrations per minute Darkness	Sönderfall per minut Mörker		Bio
DPM_sample	DPMS	Disintegrations per minute Sample	Sönderfall per minut Prov		Bio
DPM_added	DPMA	Disintegrations per minute Added	Sönderfall per minut Tillsatt		Bio
taxon_photo	PHOTO_TAXON	Taxon on photo (0/1)	Taxon fotograferat (Y/N)	TaxonPhoto	Bio
taxon_author	TAXONAUTH	Taxon author	Taxon-auktor		Bio
taxonomist	TAXNM	Taxonomist	Taxonom	Taxonomist	Bio
Temperature CTD (C)	TEMP_CTD	Temperature CTD (C)	Temperatur CTD (C)		Hyd
Temperature pH Laboratory (C)	PH_LAB_TEMP	Temperature pH Laboratory (C)	Temperatur pH Laboratorium (C)		Hyd
Temperature bottle (C)	TEMP_BTL	Temperature bottle (C)	Temperatur vattenhämtare (C)		Hyd
Total phosphorus Tot-P (umol/l)	PTOT	Total phosphorus Tot-P (umol/l)	Total fosfor Tot-P (umol/l)		Hyd
